"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"sam1",0,0,0,0,0,13,0,0,0,20,0,0,0,10,0,0,0,0,0,9,9,0,0,0,0,0,5,16,0,1,0,0,0,0,1,12,0,8,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,1,0,0,0,6,0,13,2,2,0,0,2,8,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0
"sam5",0,0,1,0,4,10,0,0,0,82,0,1,0,8,1,1,0,0,0,0,3,0,0,1,0,0,6,69,0,0,0,0,0,0,0,6,0,1,3,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,4,2,15,5,4,0,0,2,0,0,4,0,0,0,1,7,17,0,0,1,2,0,1,0,0,1,1,0,0,0,5,0,0,0,0,0,0,2
"sam6",0,8,7,0,0,46,0,1,0,181,0,0,0,35,0,5,0,0,0,2,32,0,1,0,0,0,50,244,0,0,0,0,0,0,3,10,0,81,46,0,2,0,23,0,0,5,5,49,0,0,0,0,5,6,5,0,0,23,0,51,12,0,0,0,6,0,0,22,0,0,0,15,2,7,0,1,11,10,0,0,0,0,28,1,0,0,0,29,0,0,0,1,0,0,0
"sam7",0,0,3,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,3,25,0,0,0,0,0,0,20,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,5,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0
"sc",0,30,7,20,26,18,6,1,0,127,1,5,1,1,0,10,0,0,1,18,154,2,0,1,0,0,56,162,0,21,0,0,0,2,0,19,0,46,5,17,5,0,3,5,2,1,7,45,0,0,0,0,68,2,39,1,0,5,3,30,20,16,0,0,127,0,0,0,0,0,0,24,48,6,0,4,11,132,0,3,0,0,20,11,4,0,0,19,0,0,1,0,1,0,4
"scc",0,1,18,2,9,17,0,2,0,302,8,1,0,3,0,0,0,0,0,0,38,0,0,3,0,0,40,101,0,3,0,0,0,2,2,7,0,31,10,3,2,0,5,1,0,0,2,19,0,0,0,0,6,0,11,1,0,4,0,21,5,6,2,0,112,0,0,1,0,0,0,90,40,24,0,0,1,49,0,1,0,0,19,1,0,0,0,10,0,1,0,0,0,0,3
"scs",0,10,280,139,87,79,22,62,0,6057,209,1,0,23,17,5,0,0,1,30,493,1,0,1,3,0,130,903,0,14,0,1,0,4,6,115,1,104,16,25,10,0,10,6,15,7,28,562,0,3,0,0,35,376,94,0,0,271,121,448,560,28,2,0,554,50,0,4,0,0,0,6382,4,50,0,36,1,2293,0,35,0,2,109,8,0,1,0,180,0,0,0,0,0,0,260
"sd",0,0,5,0,14,58,1,3,0,464,2,2,0,24,0,82,0,0,0,1,27,0,0,15,0,0,287,1099,0,0,0,0,0,3,0,1,0,116,7,3,7,0,6,2,0,3,0,205,0,0,0,0,6,0,46,3,0,25,2,26,6,4,0,0,49,4,0,0,0,0,0,7,554,79,0,4,16,150,0,1,0,0,19,24,4,0,0,4,0,0,0,1,0,0,1
"shania",0,9,3,8,9,23,3,0,0,568,16,1,0,3,2,2,0,0,0,7,183,0,0,2,1,0,9,949,1,11,0,0,0,68,1,17,0,51,1,9,0,2,6,2,2,14,4,225,0,0,0,3,33,19,133,1,0,0,264,794,437,18,3,3,7,5,0,0,0,0,0,7,5,7057,0,0,2,67,0,14,0,0,2,79,0,1,2,22,0,0,0,0,10,0,498
"sheldon",0,21,35,5,9,19,0,2,0,117,3,0,0,5,0,21,0,0,0,10,68,0,0,0,0,0,28,502,0,0,0,0,0,52,0,2,1,22,2,1,2,0,4,0,0,13,0,233,0,0,0,0,9,1,107,4,0,16,8,128,127,0,0,0,26,1,0,0,0,0,0,29,2,64,5,1,2,236,0,35,0,0,7,6,0,1,0,117,0,0,0,0,0,0,2
